block_id,event_count,unique_templates,unique_components,total_ip_count,exception_event,verification_event,delete_event,allocate_event,trace_time_difference,prediction,anomaly_score,anomaly
blk_-1271403908410292619,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-1278725622357466169,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-1281276222788579863,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-1282453782148343691,1,1,1,0,0,0,0,1,0,1,0.04491092989184653,NORMAL
blk_-1305222006484630743,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1306900105984505600,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-1312981516354612257,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-1331750856499198500,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-1332315107905285608,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1335063409877429524,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-133919539232421451,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-1342669964196815853,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-1345585044778938153,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-1347057913082589493,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-1367876730256254709,1,1,1,2,1,0,0,0,0,1,0.0,NORMAL
blk_-1368324087589035770,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-1379379987510648393,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1383276859207001328,1,1,1,0,0,1,0,0,0,-1,-0.09982907586517553,ANOMALY
blk_-1387034299358896632,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-1417908110808566576,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1432303681669932458,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-1435656632270396446,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1440254020029439248,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1442905060580014339,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-1451819169209310732,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-1484647023667047838,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-1485109068671160157,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1485317050914225917,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-1490623381339215624,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-1492402439215451727,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-1496429201748767714,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1508527605812345693,1,1,1,2,1,0,0,0,0,1,0.0,NORMAL
blk_-1522107359378428427,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1522998827901549925,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1525964299678787959,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-1527267659500322006,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-1533191386601391937,1,1,1,0,0,0,0,1,0,1,0.04491092989184653,NORMAL
blk_-1535908830476495455,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-1547954353065580372,1,1,1,0,0,1,0,0,0,-1,-0.09982907586517553,ANOMALY
blk_-1573544581830458089,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-1581605246928123722,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-1592043549272047369,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1598760065436384831,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-1599621098605751235,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-1614641487214609125,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1635752698830216319,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1641081065757890722,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-1649239999940418046,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-165500353496111884,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-1657856234642335063,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-1661553043410372067,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1674094254141559552,1,1,1,0,0,0,0,1,0,1,0.04491092989184653,NORMAL
blk_-1675768179383804109,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1680175975862749862,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-1680563440028826904,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-1690784932539647416,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-1693418636466747515,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-1704027189958470814,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1727475099218615100,1,1,1,0,0,0,0,1,0,1,0.04491092989184653,NORMAL
blk_-1728983474612515818,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-1732662141253491971,1,1,1,0,0,0,0,1,0,1,0.04491092989184653,NORMAL
blk_-1733026139299872187,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-1733154814375651491,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-1733803097614960767,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-1750007847201154657,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-1751996688557225241,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-1753161039594546561,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-1754204887541031211,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-1755309160709170318,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-17685631368401548,1,1,1,0,0,0,0,1,0,1,0.04491092989184653,NORMAL
blk_-1775264355226395799,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-178934379749864379,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-1798958443298220150,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-1800458850981311953,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-1821104627978106102,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1842096107468319932,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-1846853350696018836,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1849105860762445186,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1851265222873801714,1,1,1,2,1,0,0,0,0,1,0.0,NORMAL
blk_-185994527242886002,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1868325377308234190,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-1897524391075610396,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-190773840747023361,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-1910608563003942187,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-191333338640084691,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-1932467763723526131,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1939956833921604216,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-1941312615450572331,1,1,1,0,0,0,0,1,0,1,0.04491092989184653,NORMAL
blk_-1948505589144820414,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1956140031907143783,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-1957299792594627113,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-1970947032352756307,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2004529166303428909,1,1,1,0,0,0,0,1,0,1,0.04491092989184653,NORMAL
blk_-2012430628930443984,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-2013946318750925538,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2014243777892518956,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-2015110815660478655,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-2016403519138424998,1,1,1,0,0,0,0,1,0,1,0.04491092989184653,NORMAL
blk_-2020273862360001901,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2023442822091562967,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2025578204394955498,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-2025617675484194470,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-20269367189114433,1,1,1,2,1,0,0,0,0,1,0.0,NORMAL
blk_-2032740670708110312,1,1,1,2,1,0,0,0,0,1,0.0,NORMAL
blk_-2035996502664501008,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2051219911597308805,1,1,1,0,0,0,0,1,0,1,0.04491092989184653,NORMAL
blk_-2068111211565768713,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-2073265102548439691,1,1,1,0,0,0,0,1,0,1,0.04491092989184653,NORMAL
blk_-207775976836691685,1,1,1,0,0,0,0,1,0,1,0.04491092989184653,NORMAL
blk_-2082401934988378573,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2094397855762091248,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2098161025946048013,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-210021574616486609,1,1,1,0,0,0,0,1,0,1,0.04491092989184653,NORMAL
blk_-2117066166574895060,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2125743956855238111,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2129171714384027465,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2141627858612526069,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2144263949276079479,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2151458111813215098,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2192382893903170466,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-2194976790278647102,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2210703755506918304,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-2225353020301959077,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-2230892279625104430,1,1,1,0,0,0,0,1,0,1,0.04491092989184653,NORMAL
blk_-2242088550278361724,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2243784245784480521,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2250942073136893488,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-2268450354164990110,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-2268477281422551537,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-227411387418683230,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2281067667503210140,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2285729896739318683,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-2313277713021896570,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-2321016155994168744,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2332150303475653460,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2345355483730155757,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-23492739449820023,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2402036602753320612,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2421414377433740760,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-2425070029518924403,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-2439225174716664723,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-2445347158368483245,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-2451769929123196359,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-2452477352812192142,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2466006073687914843,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-2480595760294717232,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2492400942012223395,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-2506231977021079951,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-2518425063392446785,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-2530087534157630851,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-253282915050290778,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-2541428592126088938,1,1,1,0,0,0,0,1,0,1,0.04491092989184653,NORMAL
blk_-2557432794238860908,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-2583370070230800221,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-2589662411410634043,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-2591043665372016488,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-2600305892036631113,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2654726224018724510,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-265588615173040885,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2656323385657954732,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-26568864070436835,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-2658615574293326723,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-2667669005094349452,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-2680500627064966252,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-2722768686407017386,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-272707591443354058,1,1,1,2,1,0,0,0,0,1,0.0,NORMAL
blk_-2746863406163228797,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-2780312306380730204,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-2794533871450434534,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-2808875502459981198,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-2826763604408365998,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-2827716238972737794,1,1,1,0,0,1,0,0,0,-1,-0.09982907586517553,ANOMALY
blk_-2834195813213005328,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-28342503914935090,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-2843780069100181052,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2852294661215451806,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2856928563366064757,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2890295200276774269,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-2895171018912807248,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2896670847306153652,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-2901225370888235702,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-2901266958756042716,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-2907776069874917892,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-290874442865281380,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2916658835497879256,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2918118818249673980,1,1,1,2,1,0,0,0,0,1,0.0,NORMAL
blk_-2923662094689783995,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-2929627680703662712,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-2934265883100282310,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2935178173527646581,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-295306975763175640,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-29548654251973735,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2959268996938658555,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-2975629975082443857,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-2989288139685694818,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-3010126661650043258,1,1,1,0,0,0,0,1,0,1,0.04491092989184653,NORMAL
blk_-3023983271692989109,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-3025440686907267472,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-3055230140330616860,1,1,1,0,0,0,0,1,0,1,0.04491092989184653,NORMAL
blk_-305633040016166849,1,1,1,2,1,0,0,0,0,1,0.0,NORMAL
blk_-3056652732896088330,1,1,1,2,1,0,0,0,0,1,0.0,NORMAL
blk_-309134958179110212,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-3091906986951252347,1,1,1,0,0,0,0,1,0,1,0.04491092989184653,NORMAL
blk_-3134225108208373949,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-3140031507252212554,1,1,1,2,1,0,0,0,0,1,0.0,NORMAL
blk_-3140754468249228022,1,1,1,2,1,0,0,0,0,1,0.0,NORMAL
blk_-3152434225121092058,1,1,1,0,0,0,0,1,0,1,0.04491092989184653,NORMAL
blk_-3157541550945505354,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-3170270010972115378,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-3172594752427649592,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-3183355402229300197,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-3184700311670257792,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-3187293586306086277,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-3225035678192156905,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-3228470001178394592,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-323838382557775734,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-3242342105286997235,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-3249711809227781266,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-3253005280055520211,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-3261177124784025140,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-3265479347842446682,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-3275237990609680332,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-3275788837420923000,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-3276232266876914214,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-3283153974358895314,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-328970571549408286,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-3295982945091621137,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-3300851862683571086,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-3316519570098743145,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-3329473910909732817,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-3339018122410311668,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-3358448553918665902,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-3362838757940877177,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-3363550789841756902,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-337665304078248571,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-337972286882621518,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-3384560576963801177,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-3396836569886642130,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-3402248757106237109,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-3417101330634563680,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-3436382429367583573,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-3437475890798229344,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-3452734573703603740,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-3455521536483250153,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-3457731723401426942,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-3482997549732691785,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-3486808304671603275,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-3491385689517593364,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-3509323198988774369,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-3510473878877779134,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-352190670750948803,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-3522956055443924791,1,1,1,0,0,0,0,1,0,1,0.04491092989184653,NORMAL
blk_-3564493590065542578,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-3572295706132449090,1,1,1,2,1,0,0,0,0,1,0.0,NORMAL
blk_-3573208405519699182,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-3575568207121859434,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-3575718350717794894,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-357695136519539363,1,1,1,0,0,0,0,0,0,1,0.1844708938516601,NORMAL
blk_-3582070652284403613,1,1,1,1,0,0,1,0,0,1,0.1150743353602891,NORMAL
blk_-3594701313167635091,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-3607708283707030582,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
blk_-3607860197409267245,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-3612946656596896413,1,1,1,2,0,0,0,0,0,1,0.17105675448234425,NORMAL
blk_-3620767662957963389,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-3622135859810774312,1,1,1,1,0,0,0,0,0,1,0.21900602380048056,NORMAL
blk_-3636681193077858741,1,1,1,0,0,0,1,0,0,1,0.12297016981752451,NORMAL
